,Time,Open,High,Low,Close,Volume,CloseTime,QuoteAssetVolume,NumberOfTrades,TakerBaseVolume,TakerQuoteVolume,Ignore
0,1561939200000,0.005322,0.005336263456205489,0.005315135497185396,0.005332772366202633,137.851137,1561939259999,1496491.94247266,1055,92.181348,1000681.20136773,0
1,1561939260000,0.005333346042509282,0.005337430421683972,0.005321558710533347,0.0053354053933536635,101.104253,1561939319999,1099120.69030657,826,44.67547,485690.72733696,0
2,1561939320000,0.005334777781667757,0.005334782684884053,0.005312634856874361,0.005312634856874361,145.113524,1561939379999,1574823.85330977,787,34.745913,377182.10687194,0
3,1561939380000,0.005312644663306954,0.005315086465022434,0.005301352556176929,0.005309477185579643,158.735093,1561939439999,1719258.31426288,801,91.363177,989621.36395768,0
4,1561939440000,0.005308516155185598,0.00530918789581817,0.0052832155590974835,0.005301607523424328,129.079572,1561939499999,1394439.29586878,1196,77.870334,841342.0280687,0
5,1561939500000,0.005301607523424328,0.005308584800213744,0.005264117531623994,0.005264117531623994,244.526198,1561939559999,2634270.02438011,1977,96.245704,1038145.20258739,0
6,1561939560000,0.005263985144783999,0.005289275934439521,0.005255757547839066,0.00528482381404262,251.394655,1561939619999,2702563.66228276,1826,126.98346,1365422.82960345,0
7,1561939620000,0.005283735300024875,0.005315086465022434,0.0052810532407108835,0.005310281313052211,148.577507,1561939679999,1606806.76184043,1156,84.693164,915949.71520061,0
8,1561939680000,0.005308133704314499,0.005319994584534876,0.005298268433126653,0.005310962860117375,125.76242,1561939739999,1361709.78959656,959,60.796682,658263.15433182,0
9,1561939740000,0.005310104797265549,0.005329796113910872,0.005310050861886292,0.0053262412820961665,96.347811,1561939799999,1045778.15478997,760,56.148095,609451.86798265,0
10,1561939800000,0.005324245673063635,0.00532636386250357,0.005302833327498365,0.005312600534360288,128.615876,1561939859999,1394855.929847,677,74.362559,806676.35998441,0
11,1561939860000,0.005312502470034365,0.005318543232511216,0.005301440814070259,0.005315086465022434,49.944933,1561939919999,540829.9571969,533,28.010219,303361.66413078,0
12,1561939920000,0.005315606205949825,0.00537217951557476,0.005315086465022434,0.00536514340018979,202.888816,1561939979999,2212023.52797849,1449,100.489357,1094978.05781361,0
13,1561939980000,0.005365138496973494,0.005385849682608415,0.00534071557660239,0.00537926466312269,282.589967,1561940039999,3090580.96345001,1650,129.642635,1418567.46651163,0
14,1561940040000,0.005379701049373048,0.005416587945568955,0.005373983899171742,0.005395200116085166,237.212293,1561940099999,2609167.68303175,1848,125.77774,1384227.92303496,0
15,1561940100000,0.00539521972895035,0.005410875698583946,0.0053827557531255475,0.005389860513538663,175.815169,1561940159999,1935912.64869837,956,79.779023,878400.96779973,0
16,1561940160000,0.005390571479901604,0.005410699182797284,0.0053831431072129425,0.005390066448623101,158.894862,1561940219999,1749922.27027189,859,64.868468,714288.28728723,0
17,1561940220000,0.00538753638901429,0.0054031727457827,0.005373022868777697,0.005381941819220387,84.475801,1561940279999,927914.06765265,831,44.03914,483869.3128279,0
18,1561940280000,0.005382084012492975,0.005391086317612699,0.005369879907131867,0.005389860513538663,87.798879,1561940339999,963539.51841537,747,46.842916,514112.98007748,0
19,1561940340000,0.005389948771431993,0.005398441142056919,0.005378999889442699,0.005392625927529689,73.782941,1561940399999,810987.11246112,565,41.586754,457229.90208405,0
20,1561940400000,0.005393508506462996,0.005413150790945357,0.005387776646612801,0.005406369642807787,78.660764,1561940459999,866621.97638923,691,49.023306,540199.75134954,0
21,1561940460000,0.00540646770713371,0.00540922821790844,0.005387100002763933,0.0053934987000304035,75.591449,1561940519999,831853.57669986,537,41.284069,454237.53899428,0
22,1561940520000,0.005391900251517859,0.00539352811932818,0.005377126860817571,0.00538137794934633,59.842879,1561940579999,657316.51588517,538,37.142514,408059.04282876,0
23,1561940580000,0.005381431884725587,0.005388340516486857,0.005373925060576188,0.005374479124017652,35.268701,1561940639999,386960.36129729,380,18.905126,207456.82980432,0
24,1561940640000,0.005373925060576188,0.005393537925760772,0.005373925060576188,0.005392988765535603,77.524953,1561940699999,851231.62542221,469,60.88221,668501.57326968,0
25,1561940700000,0.0053929936687519,0.0053935330225444765,0.005381113175666338,0.005387810969126873,35.614438,1561940759999,391318.86473602,360,16.265922,178749.22584443,0
26,1561940760000,0.0053865557457550605,0.005388840644549064,0.005356440191264131,0.005360808956983997,91.445767,1561940819999,1001826.95848629,747,29.174725,319658.80794797,0
27,1561940820000,0.005363799918924646,0.00537312093310362,0.005353728712652362,0.005366109333800131,158.25659,1561940879999,1731746.27463001,930,85.952632,940488.04940941,0
28,1561940880000,0.0053680166849393324,0.005387207873522448,0.0053632360490505895,0.005385962456583226,89.952686,1561940939999,986125.44581514,643,57.788297,633364.27136428,0
29,1561940940000,0.005385114200163993,0.005397911594696935,0.005375484283358363,0.005393611474005215,86.431575,1561940999999,949478.9856346,666,50.499109,554951.28167325,0
30,1561941000000,0.005397288886227324,0.005403344358353065,0.005390546963820123,0.005394930439188878,48.863391,1561941059999,537997.17110684,506,33.366833,367377.8470016,0
31,1561941060000,0.005397656627449535,0.005400299461033159,0.005376548281294627,0.005377862343261993,82.326162,1561941119999,904474.07996394,605,42.703678,469306.17438147,0
32,1561941120000,0.005378661567518265,0.005382603753420367,0.005371189065882938,0.005374430091854691,49.543961,1561941179999,543419.29246948,521,28.808418,316045.47504591,0
33,1561941180000,0.005374204543905068,0.005380171758137478,0.005366079914502354,0.005369041457145227,63.664705,1561941239999,697654.45635096,384,45.821711,502138.71292145,0
34,1561941240000,0.005370443777005924,0.0053745968012087605,0.005361985728895072,0.0053692326825807764,40.628669,1561941299999,444872.6123383,466,21.495585,235387.39031146,0
35,1561941300000,0.005370973324365908,0.005383697170654407,0.005366933074137883,0.005382074206060383,24.209066,1561941359999,265314.07644456,324,14.953391,163896.37488284,0
36,1561941360000,0.0053826282695018475,0.005387712904800951,0.005366021075906799,0.005369046360361522,53.337311,1561941419999,584884.90405113,410,16.263575,178398.2336388,0
37,1561941420000,0.005366727139053445,0.005374993961728748,0.005352733359744244,0.005360156829216609,65.684679,1561941479999,718408.28008255,575,39.98158,437342.81509682,0
38,1561941480000,0.005360156829216609,0.005361083537096581,0.005347697756608102,0.005360451022194379,36.895657,1561941539999,402974.7987046,458,18.288001,199794.60918879,0
39,1561941540000,0.005360916827742512,0.005373993705604333,0.0053587348964907276,0.005368163781428216,36.115885,1561941599999,395255.43591943,353,25.039784,274001.30709737,0
40,1561941600000,0.00536935526298818,0.005378132020158281,0.005365011013349794,0.005374704671967275,43.257221,1561941659999,473831.70970569,368,31.401891,344013.8449345,0
41,1561941660000,0.005376739506730175,0.005385256393436582,0.005371870612948102,0.005384398330584756,30.705105,1561941719999,336740.80020574,387,18.52986,203241.49551155,0
42,1561941720000,0.005384820007186224,0.005389958577864586,0.005374008415253222,0.0053766316359716605,46.716206,1561941779999,512920.35679582,389,20.90611,229533.90531388,0
43,1561941780000,0.005375852024580573,0.005387712904800951,0.005374140802093219,0.005376077572530196,31.23735,1561941839999,342816.28176578,314,13.054015,143271.93512646,0
44,1561941840000,0.005376077572530196,0.005383491235569969,0.005371071388691831,0.005380063887378963,44.411374,1561941899999,487019.25016416,401,33.393368,366199.89261543,0
45,1561941900000,0.005381642723026322,0.0054101549257884116,0.005380470854331543,0.0054054919670907765,100.230196,1561941959999,1103308.70615268,772,70.186947,772689.80391464,0
46,1561941960000,0.0054054919670907765,0.00541746071806967,0.005397798820722124,0.005406541255378153,104.651305,1561942019999,1154594.58211712,751,53.202272,587030.12208115,0
47,1561942020000,0.005406541255378153,0.005411498407053556,0.005391910057950452,0.005391910057950452,60.628031,1561942079999,667740.21076627,576,26.735074,294482.48851695,0
48,1561942080000,0.005393189797403747,0.0054057959665011375,0.005391914961166748,0.0053991226891220824,64.552208,1561942139999,710953.39692804,607,35.979876,396300.78809928,0
49,1561942140000,0.0053991226891220824,0.0054057959665011375,0.005393537925760772,0.005393537925760772,45.259004,1561942199999,498734.00319967,376,29.030533,319966.08431408,0
50,1561942200000,0.00539513147105702,0.005401397781483495,0.005389620255940151,0.00539767624031472,32.149195,1561942259999,353676.93422192,371,20.557239,226172.40963758,0
51,1561942260000,0.0053986666900065405,0.005409272346855105,0.005397833143236197,0.005400426944656858,43.797224,1561942319999,482793.84709393,405,23.065617,254263.22681684,0
52,1561942320000,0.005398249916621369,0.005402805004560488,0.005389924255350512,0.005394136118148902,32.950867,1561942379999,362589.61142152,347,11.714676,128929.63916668,0
53,1561942380000,0.005394136118148902,0.005396430823375499,0.005381118078882635,0.0053885905805179605,47.370882,1561942439999,520669.95686541,430,28.304507,311077.71537992,0
54,1561942440000,0.0053872912281994825,0.005393508506462996,0.005381451497590772,0.005382495882661851,27.118416,1561942499999,297991.59893199,288,15.862816,174322.67712856,0
55,1561942500000,0.0053838442671432915,0.005397798820722124,0.005381554465132991,0.00539510695497554,30.811325,1561942559999,338781.51768493,267,23.181576,254902.70518832,0
56,1561942560000,0.005395734566661445,0.005409198798610663,0.00539132657521121,0.00540552628960485,54.581434,1561942619999,601201.3828962,404,36.923163,406782.34733486,0
57,1561942620000,0.0054051046130033815,0.005430390499442607,0.005402182296090878,0.00543008159681595,85.256607,1561942679999,942015.58534183,870,61.042304,674461.365962,0
58,1561942680000,0.00543008159681595,0.005430390499442607,0.005412572211422412,0.005423476964465041,107.51889,1561942739999,1188985.23397875,591,31.003409,342833.12738167,0
59,1561942740000,0.005425026380814622,0.005444732407108834,0.005422628708045807,0.005438421967735695,100.042008,1561942799999,1109177.44193003,870,53.495687,592984.93272624,0
60,1561942800000,0.005438186613353479,0.005440064545194903,0.005416940977142278,0.005419716197565897,36.540674,1561942859999,404369.34169252,475,16.202376,179334.21333733,0
61,1561942860000,0.005418215813379276,0.005435190748196535,0.0054161172368045254,0.005423874124985029,46.858835,1561942919999,518756.34446697,509,25.202441,279007.60887654,0
62,1561942920000,0.005423874124985029,0.005439603642863066,0.0054230013524843145,0.00543645577800094,39.159794,1561942979999,433834.04676996,391,18.010466,199505.42964649,0
63,1561942980000,0.0054380689361623715,0.005438632806036428,0.005421285226780663,0.005429905081029289,67.255809,1561943039999,744852.47184866,497,22.24482,246413.01550612,0
64,1561943040000,0.005430228693304834,0.005443060410351848,0.005424428188426493,0.005443060410351848,69.836192,1561943099999,774276.16564986,426,54.342151,602654.91883468,0
65,1561943100000,0.005442795636671856,0.005451797941791581,0.005440118480574161,0.005451797941791581,60.832338,1561943159999,675673.86911494,576,26.508366,294476.6353294,0
66,1561943160000,0.005451797941791581,0.005462683081969026,0.005450380912281995,0.005452597166047853,111.484911,1561943219999,1241134.34179001,756,38.97007,433886.43410487,0
67,1561943220000,0.005454033808422624,0.005474328220672373,0.0054520283929575,0.00546917984356142,82.33195,1561943279999,917572.33104114,798,51.111986,569679.33624384,0
68,1561943280000,0.005470086938576206,0.0054775888595093095,0.005455588127988502,0.005455593031204798,254.668298,1561943339999,2837140.67373139,828,192.077877,2139119.90972308,0
69,1561943340000,0.005456892383523276,0.005457279737610673,0.0054419032513059575,0.005442570088722234,245.362598,1561943399999,2724098.88898453,831,216.729405,2406009.66771188,0
70,1561943400000,0.005442570088722234,0.005442570088722234,0.005433494235358068,0.005438799515390497,315.173062,1561943459999,3498271.42560353,944,284.45286,3157363.57151877,0
71,1561943460000,0.005438799515390497,0.00544860594798279,0.005433307913138814,0.005437877710726823,37.268955,1561943519999,413345.39586536,474,20.728829,229914.84540785,0
72,1561943520000,0.005437328550501654,0.005438137581190518,0.005428708696253028,0.005436024294966878,44.217474,1561943579999,489956.19571338,417,21.28058,235836.63620905,0
73,1561943580000,0.005435117199952091,0.00543975073935195,0.005433984556987682,0.005435215264278015,44.86943,1561943639999,497382.56294277,402,36.00532,399121.48025866,0
74,1561943640000,0.005435210361061719,0.005435215264278015,0.0054259923144249645,0.005431263271943322,46.10746,1561943699999,510742.82994153,514,26.120259,289339.16589358,0
75,1561943700000,0.0054312534655107285,0.0054312534655107285,0.005413950015201629,0.005414322659640136,52.815994,1561943759999,584065.82670469,570,28.38362,313880.37292712,0
76,1561943760000,0.005415283690034181,0.0054222560636073,0.005404168098690818,0.0054062862881307525,151.146907,1561943819999,1668430.58052928,767,69.115213,763393.78097689,0
77,1561943820000,0.005406281384914456,0.005423236706866529,0.0054055900314167,0.005421260710699183,78.732014,1561943879999,869287.7397072,470,60.532538,668274.94443027,0
78,1561943880000,0.0054203928414147656,0.0054214470329184365,0.005411292471969117,0.005419466133534793,24.066443,1561943939999,265810.18553566,300,11.07301,122289.25244966,0
79,1561943940000,0.005419103295528878,0.005419103295528878,0.005408242671432914,0.005408247574649211,35.419195,1561943999999,391109.10894244,307,14.939728,164946.10910672,0
80,1561944000000,0.005408247574649211,0.005415832850259349,0.005402613779124939,0.0054099097649736045,100.04575,1561944059999,1103568.47636205,595,71.058369,783743.48279452,0
81,1561944060000,0.0054099097649736045,0.005413234145622391,0.005397911594696935,0.005398544109599137,40.684917,1561944119999,448375.60285478,461,26.104192,287675.59253991,0
82,1561944120000,0.005398598044978395,0.005403344358353065,0.005397911594696935,0.005400544621847966,26.485411,1561944179999,291812.36852354,260,19.61683,216135.51942685,0
83,1561944180000,0.0054005004929013,0.005403344358353065,0.00539497947135184,0.005402795198127896,42.428346,1561944239999,467152.85649736,420,26.903452,296205.92175371,0
84,1561944240000,0.00540328551975751,0.00540704138344036,0.005400858427690919,0.005405565515335219,27.563179,1561944299999,303787.64838148,266,15.560503,171503.26121625,0
85,1561944300000,0.00540539880598115,0.005405952869422614,0.005398593141762099,0.005399196237366526,23.81409,1561944359999,262440.63744497,282,8.361851,92161.61027917,0
86,1561944360000,0.005398598044978395,0.005399348237071706,0.005384226718014391,0.005394655859076294,51.577531,1561944419999,567238.36492333,458,13.315396,146457.26623108,0
87,1561944420000,0.005394734310537033,0.005406482416782598,0.005391615864972683,0.0054055851282004035,28.029588,1561944479999,308729.75184404,282,17.092407,188285.90835554,0
